movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,-584,11119.74,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,-584,11119.74,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot
Plie,30.096617306886422,1,0.14,0.88,0.91,hip right,knee right
Plie,30.096617306886422,1,0.14,0.88,0.91,hip right,knee right
Plie,17.037149578004815,27,521.43,0.88,0.29,hip right,knee right
